bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
bob,FD,GENERAL,3.5,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,4,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,4.1,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,4.75,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,5.25,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,5.35,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,5.75,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,6.25,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,6.35,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,6.25,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,6.75,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,6.85,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,GENERAL,6.25,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SENIOR,6.75,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
bob,FD,SUPER_SENIOR,6.85,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.policybazaar.com/fd-interest-rates/bank-of-baroda-fd-rates/,2026-06-12
