bankId,product,customer,ratePercent,minDays,maxDays,tenureLabel,minAmount,maxAmount,amountLabel,scheme,sourceUrl,effectiveDate
bob,SAVINGS,GENERAL,,0,,Any tenure,10000000,,₹1 crore & above,,https://www.bankofbaroda.in,
canara,FD,GENERAL,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,GENERAL,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,FD,SENIOR,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://canarabank.com,
canara,RD,GENERAL,,365,729,1 year to < 2 years,0,,Any amount,,https://canarabank.com,
canara,RD,SENIOR,,365,729,1 year to < 2 years,0,,Any amount,,https://canarabank.com,
canara,RD,GENERAL,,730,1094,2 years to < 3 years,0,,Any amount,,https://canarabank.com,
canara,RD,SENIOR,,730,1094,2 years to < 3 years,0,,Any amount,,https://canarabank.com,
canara,RD,GENERAL,,1095,1824,3 years to < 5 years,0,,Any amount,,https://canarabank.com,
canara,RD,SENIOR,,1095,1824,3 years to < 5 years,0,,Any amount,,https://canarabank.com,
canara,RD,GENERAL,,1825,3650,5 years to 10 years,0,,Any amount,,https://canarabank.com,
canara,RD,SENIOR,,1825,3650,5 years to 10 years,0,,Any amount,,https://canarabank.com,
canara,SAVINGS,GENERAL,,0,,Any tenure,0,10000000,Below ₹1 crore,,https://canarabank.com,
canara,SAVINGS,GENERAL,,0,,Any tenure,10000000,,₹1 crore & above,,https://canarabank.com,
union,FD,GENERAL,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,7,45,7–45 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,46,90,46–90 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,91,180,91–180 days,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,181,364,181 days to < 1 year,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,365,729,1 year to < 2 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,730,1094,2 years to < 3 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,1095,1824,3 years to < 5 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,GENERAL,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
union,FD,SENIOR,,1825,3650,5 years to 10 years,0,30000000,Below ₹3 crore (retail),,https://www.unionbankofindia.co.in,
